 F		 G
 3.89045145e-01  4.03797063e+01 
 3.98107171e-01  4.03803729e+01 
 4.07380278e-01  4.03810095e+01 
 4.16869383e-01  4.03816175e+01 
 4.26579519e-01  4.03821980e+01 
 4.36515832e-01  4.03827523e+01 
 4.46683592e-01  4.03832817e+01 
 4.57088190e-01  4.03837871e+01 
 4.67735141e-01  4.03842698e+01 
 4.78630092e-01  4.03847306e+01 
 4.89778819e-01  4.03851706e+01 
 5.01187234e-01  4.03855907e+01 
 5.12861384e-01  4.03859919e+01 
 5.24807460e-01  4.03863748e+01 
 5.37031796e-01  4.03867405e+01 
 5.49540874e-01  4.03870895e+01 
 5.62341325e-01  4.03874227e+01 
 5.75439937e-01  4.03877408e+01 
 5.88843655e-01  4.03880445e+01 
 6.02559586e-01  4.03883343e+01 
 6.16595002e-01  4.03886109e+01 
 6.30957344e-01  4.03888749e+01 
 6.45654229e-01  4.03891269e+01 
 6.60693448e-01  4.03893673e+01 
 6.76082975e-01  4.03895967e+01 
 6.91830971e-01  4.03898156e+01 
 7.07945784e-01  4.03900245e+01 
 7.24435960e-01  4.03902237e+01 
 7.41310241e-01  4.03904137e+01 
 7.58577575e-01  4.03905949e+01 
 7.76247117e-01  4.03907677e+01 
 7.94328235e-01  4.03909325e+01 
 8.12830516e-01  4.03910895e+01 
 8.31763771e-01  4.03912392e+01 
 8.51138038e-01  4.03913819e+01 
 8.70963590e-01  4.03915178e+01 
 8.91250938e-01  4.03916472e+01 
 9.12010839e-01  4.03917705e+01 
 9.33254301e-01  4.03918878e+01 
 9.54992586e-01  4.03919995e+01 
 9.77237221e-01  4.03921057e+01 
 1.00000000e+00  4.03922067e+01 
 1.02329299e+00  4.03923028e+01 
 1.04712855e+00  4.03923940e+01 
 1.07151931e+00  4.03924806e+01 
 1.09647820e+00  4.03925628e+01 
 1.12201845e+00  4.03926408e+01 
 1.14815362e+00  4.03927147e+01 
 1.17489755e+00  4.03927846e+01 
 1.20226443e+00  4.03928508e+01 
 1.23026877e+00  4.03929134e+01 
 1.25892541e+00  4.03929725e+01 
 1.28824955e+00  4.03930282e+01 
 1.31825674e+00  4.03930806e+01 
 1.34896288e+00  4.03931299e+01 
 1.38038426e+00  4.03931761e+01 
 1.41253754e+00  4.03932194e+01 
 1.44543977e+00  4.03932599e+01 
 1.47910839e+00  4.03932976e+01 
 1.51356125e+00  4.03933326e+01 
 1.54881662e+00  4.03933650e+01 
 1.58489319e+00  4.03933948e+01 
 1.62181010e+00  4.03934222e+01 
 1.65958691e+00  4.03934472e+01 
 1.69824365e+00  4.03934697e+01 
 1.73780083e+00  4.03934900e+01 
 1.77827941e+00  4.03935080e+01 
 1.81970086e+00  4.03935237e+01 
