 F		 G
 1.00000000e-02  1.46485372e+01 
 1.02329299e-02  1.47918726e+01 
 1.04712855e-02  1.49333195e+01 
 1.07151931e-02  1.50728413e+01 
 1.09647820e-02  1.52104028e+01 
 1.12201845e-02  1.53459697e+01 
 1.14815362e-02  1.54795092e+01 
 1.17489755e-02  1.56109896e+01 
 1.20226443e-02  1.57403810e+01 
 1.23026877e-02  1.58676548e+01 
 1.25892541e-02  1.59927843e+01 
 1.28824955e-02  1.61157445e+01 
 1.31825674e-02  1.62365125e+01 
 1.34896288e-02  1.63550670e+01 
 1.38038426e-02  1.64713892e+01 
 1.41253754e-02  1.65854622e+01 
 1.44543977e-02  1.66972714e+01 
 1.47910839e-02  1.68068044e+01 
 1.51356125e-02  1.69140512e+01 
 1.54881662e-02  1.70190043e+01 
 1.58489319e-02  1.71216582e+01 
 1.62181010e-02  1.72220103e+01 
 1.65958691e-02  1.73200602e+01 
 1.69824365e-02  1.74158099e+01 
 1.73780083e-02  1.75092639e+01 
 1.77827941e-02  1.76004292e+01 
 1.81970086e-02  1.76893149e+01 
 1.86208714e-02  1.77759329e+01 
 1.90546072e-02  1.78602969e+01 
 1.94984460e-02  1.79424232e+01 
 1.99526231e-02  1.80223301e+01 
 2.04173794e-02  1.81000380e+01 
 2.08929613e-02  1.81755694e+01 
 2.13796209e-02  1.82489486e+01 
 2.18776162e-02  1.83202020e+01 
 2.23872114e-02  1.83893574e+01 
 2.29086765e-02  1.84564444e+01 
 2.34422882e-02  1.85214941e+01 
 2.39883292e-02  1.85845391e+01 
 2.45470892e-02  1.86456131e+01 
 2.51188643e-02  1.87047512e+01 
 2.57039578e-02  1.87619894e+01 
 2.63026799e-02  1.88173649e+01 
 2.69153480e-02  1.88709154e+01 
 2.75422870e-02  1.89226796e+01 
 2.81838293e-02  1.89726968e+01 
 2.88403150e-02  1.90210066e+01 
 2.95120923e-02  1.90676493e+01 
 3.01995172e-02  1.91126652e+01 
 3.09029543e-02  1.91560951e+01 
 3.16227766e-02  1.91979797e+01 
 3.23593657e-02  1.92383598e+01 
 3.31131121e-02  1.92772762e+01 
 3.38844156e-02  1.93147695e+01 
 3.46736850e-02  1.93508800e+01 
 3.54813389e-02  1.93856478e+01 
 3.63078055e-02  1.94191127e+01 
 3.71535229e-02  1.94513140e+01 
 3.80189396e-02  1.94822904e+01 
 3.89045145e-02  1.95120804e+01 
 3.98107171e-02  1.95407216e+01 
 4.07380278e-02  1.95682512e+01 
 4.16869383e-02  1.95947057e+01 
 4.26579519e-02  1.96201209e+01 
 4.36515832e-02  1.96445318e+01 
 4.46683592e-02  1.96679729e+01 
 4.57088190e-02  1.96904776e+01 
 4.67735141e-02  1.97120789e+01 
 4.78630092e-02  1.97328087e+01 
 4.89778819e-02  1.97526984e+01 
 5.01187234e-02  1.97717783e+01 
 5.12861384e-02  1.97900780e+01 
 5.24807460e-02  1.98076264e+01 
 5.37031796e-02  1.98244514e+01 
 5.49540874e-02  1.98405802e+01 
 5.62341325e-02  1.98560393e+01 
 5.75439937e-02  1.98708541e+01 
 5.88843655e-02  1.98850495e+01 
 6.02559586e-02  1.98986494e+01 
 6.16595002e-02  1.99116771e+01 
 6.30957344e-02  1.99241550e+01 
 6.45654229e-02  1.99361050e+01 
 6.60693448e-02  1.99475478e+01 
 6.76082975e-02  1.99585038e+01 
 6.91830971e-02  1.99689926e+01 
 7.07945784e-02  1.99790331e+01 
 7.24435960e-02  1.99886433e+01 
 7.41310241e-02  1.99978410e+01 
 7.58577575e-02  2.00066428e+01 
 7.76247117e-02  2.00150652e+01 
 7.94328235e-02  2.00231238e+01 
 8.12830516e-02  2.00308337e+01 
 8.31763771e-02  2.00382094e+01 
 8.51138038e-02  2.00452648e+01 
 8.70963590e-02  2.00520134e+01 
 8.91250938e-02  2.00584681e+01 
 9.12010839e-02  2.00646412e+01 
 9.33254301e-02  2.00705447e+01 
 9.54992586e-02  2.00761900e+01 
 9.77237221e-02  2.00815881e+01 
 1.00000000e-01  2.00867494e+01 
 1.02329299e-01  2.00916842e+01 
 1.04712855e-01  2.00964022e+01 
 1.07151931e-01  2.01009125e+01 
 1.09647820e-01  2.01052243e+01 
 1.12201845e-01  2.01093460e+01 
 1.14815362e-01  2.01132858e+01 
 1.17489755e-01  2.01170516e+01 
 1.20226443e-01  2.01206510e+01 
 1.23026877e-01  2.01240912e+01 
 1.25892541e-01  2.01273790e+01 
 1.28824955e-01  2.01305213e+01 
 1.31825674e-01  2.01335242e+01 
 1.34896288e-01  2.01363939e+01 
 1.38038426e-01  2.01391361e+01 
 1.41253754e-01  2.01417566e+01 
 1.44543977e-01  2.01442606e+01 
 1.47910839e-01  2.01466533e+01 
 1.51356125e-01  2.01489395e+01 
 1.54881662e-01  2.01511238e+01 
 1.58489319e-01  2.01532109e+01 
 1.62181010e-01  2.01552050e+01 
 1.65958691e-01  2.01571102e+01 
 1.69824365e-01  2.01589304e+01 
 1.73780083e-01  2.01606694e+01 
 1.77827941e-01  2.01623308e+01 
 1.81970086e-01  2.01639179e+01 
 1.86208714e-01  2.01654342e+01 
 1.90546072e-01  2.01668826e+01 
 1.94984460e-01  2.01682664e+01 
 1.99526231e-01  2.01695882e+01 
 2.04173794e-01  2.01708509e+01 
 2.08929613e-01  2.01720571e+01 
 2.13796209e-01  2.01732093e+01 
 2.18776162e-01  2.01743099e+01 
 2.23872114e-01  2.01753612e+01 
 2.29086765e-01  2.01763654e+01 
 2.34422882e-01  2.01773247e+01 
 2.39883292e-01  2.01782409e+01 
 2.45470892e-01  2.01791160e+01 
 2.51188643e-01  2.01799519e+01 
 2.57039578e-01  2.01807502e+01 
 2.63026799e-01  2.01815128e+01 
 2.69153480e-01  2.01822411e+01 
 2.75422870e-01  2.01829367e+01 
 2.81838293e-01  2.01836011e+01 
 2.88403150e-01  2.01842356e+01 
 2.95120923e-01  2.01848417e+01 
 3.01995172e-01  2.01854205e+01 
 3.09029543e-01  2.01859732e+01 
 3.16227766e-01  2.01865012e+01 
 3.23593657e-01  2.01870053e+01 
 3.31131121e-01  2.01874868e+01 
 3.38844156e-01  2.01879466e+01 
 3.46736850e-01  2.01883857e+01 
 3.54813389e-01  2.01888050e+01 
 3.63078055e-01  2.01892055e+01 
 3.71535229e-01  2.01895879e+01 
 3.80189396e-01  2.01899530e+01 
 3.89045145e-01  2.01903017e+01 
 3.98107171e-01  2.01906346e+01 
 4.07380278e-01  2.01909525e+01 
 4.16869383e-01  2.01912561e+01 
 4.26579519e-01  2.01915459e+01 
 4.36515832e-01  2.01918226e+01 
 4.46683592e-01  2.01920868e+01 
 4.57088190e-01  2.01923390e+01 
 4.67735141e-01  2.01925798e+01 
 4.78630092e-01  2.01928096e+01 
 4.89778819e-01  2.01930290e+01 
 5.01187234e-01  2.01932385e+01 
 5.12861384e-01  2.01934384e+01 
 5.24807460e-01  2.01936291e+01 
 5.37031796e-01  2.01938112e+01 
 5.49540874e-01  2.01939850e+01 
 5.62341325e-01  2.01941508e+01 
 5.75439937e-01  2.01943090e+01 
 5.88843655e-01  2.01944599e+01 
 6.02559586e-01  2.01946039e+01 
 6.16595002e-01  2.01947413e+01 
 6.30957344e-01  2.01948723e+01 
 6.45654229e-01  2.01949972e+01 
 6.60693448e-01  2.01951163e+01 
 6.76082975e-01  2.01952298e+01 
 6.91830971e-01  2.01953380e+01 
 7.07945784e-01  2.01954412e+01 
 7.24435960e-01  2.01955394e+01 
 7.41310241e-01  2.01956330e+01 
 7.58577575e-01  2.01957221e+01 
 7.76247117e-01  2.01958070e+01 
 7.94328235e-01  2.01958878e+01 
 8.12830516e-01  2.01959646e+01 
 8.31763771e-01  2.01960376e+01 
 8.51138038e-01  2.01961071e+01 
 8.70963590e-01  2.01961731e+01 
 8.91250938e-01  2.01962358e+01 
 9.12010839e-01  2.01962953e+01 
 9.33254301e-01  2.01963517e+01 
 9.54992586e-01  2.01964052e+01 
 9.77237221e-01  2.01964558e+01 
 1.00000000e+00  2.01965037e+01 
 1.02329299e+00  2.01965490e+01 
 1.04712855e+00  2.01965918e+01 
 1.07151931e+00  2.01966322e+01 
 1.09647820e+00  2.01966702e+01 
 1.12201845e+00  2.01967059e+01 
 1.14815362e+00  2.01967394e+01 
 1.17489755e+00  2.01967709e+01 
 1.20226443e+00  2.01968002e+01 
 1.23026877e+00  2.01968276e+01 
 1.25892541e+00  2.01968530e+01 
 1.28824955e+00  2.01968766e+01 
 1.31825674e+00  2.01968983e+01 
 1.34896288e+00  2.01969182e+01 
 1.38038426e+00  2.01969364e+01 
 1.41253754e+00  2.01969529e+01 
 1.44543977e+00  2.01969677e+01 
 1.47910839e+00  2.01969809e+01 
 1.51356125e+00  2.01969925e+01 
 1.54881662e+00  2.01970025e+01 
 1.58489319e+00  2.01970109e+01 
 1.62181010e+00  2.01970178e+01 
 1.65958691e+00  2.01970232e+01 
 1.69824365e+00  2.01970270e+01 
 1.73780083e+00  2.01970293e+01 
 1.77827941e+00  2.01970301e+01 
 1.81970086e+00  2.01970294e+01 
 1.86208714e+00  2.01970272e+01 
 1.90546072e+00  2.01970235e+01 
 1.94984460e+00  2.01970183e+01 
 1.99526231e+00  2.01970115e+01 
 2.04173794e+00  2.01970032e+01 
 2.08929613e+00  2.01969934e+01 
 2.13796209e+00  2.01969819e+01 
 2.18776162e+00  2.01969689e+01 
 2.23872114e+00  2.01969542e+01 
 2.29086765e+00  2.01969378e+01 
 2.34422882e+00  2.01969198e+01 
 2.39883292e+00  2.01969000e+01 
 2.45470892e+00  2.01968784e+01 
 2.51188643e+00  2.01968550e+01 
 2.57039578e+00  2.01968297e+01 
 2.63026799e+00  2.01968025e+01 
 2.69153480e+00  2.01967733e+01 
 2.75422870e+00  2.01967420e+01 
 2.81838293e+00  2.01967087e+01 
 2.88403150e+00  2.01966731e+01 
 2.95120923e+00  2.01966353e+01 
 3.01995172e+00  2.01965952e+01 
 3.09029543e+00  2.01965526e+01 
 3.16227766e+00  2.01965075e+01 
 3.23593657e+00  2.01964598e+01 
 3.31131121e+00  2.01964093e+01 
 3.38844156e+00  2.01963561e+01 
 3.46736850e+00  2.01962999e+01 
 3.54813389e+00  2.01962407e+01 
 3.63078055e+00  2.01961783e+01 
 3.71535229e+00  2.01961125e+01 
 3.80189396e+00  2.01960434e+01 
 3.89045145e+00  2.01959706e+01 
 3.98107171e+00  2.01958941e+01 
 4.07380278e+00  2.01958137e+01 
 4.16869383e+00  2.01957291e+01 
 4.26579519e+00  2.01956404e+01 
 4.36515832e+00  2.01955471e+01 
 4.46683592e+00  2.01954493e+01 
 4.57088190e+00  2.01953465e+01 
 4.67735141e+00  2.01952387e+01 
 4.78630092e+00  2.01951256e+01 
 4.89778819e+00  2.01950070e+01 
 5.01187234e+00  2.01948825e+01 
 5.12861384e+00  2.01947521e+01 
 5.24807460e+00  2.01946152e+01 
 5.37031796e+00  2.01944718e+01 
 5.49540874e+00  2.01943214e+01 
 5.62341325e+00  2.01941638e+01 
 5.75439937e+00  2.01939986e+01 
 5.88843655e+00  2.01938255e+01 
 6.02559586e+00  2.01936441e+01 
 6.16595002e+00  2.01934541e+01 
 6.30957344e+00  2.01932549e+01 
 6.45654229e+00  2.01930463e+01 
 6.60693448e+00  2.01928277e+01 
 6.76082975e+00  2.01925987e+01 
 6.91830971e+00  2.01923588e+01 
 7.07945784e+00  2.01921075e+01 
 7.24435960e+00  2.01918443e+01 
 7.41310241e+00  2.01915687e+01 
 7.58577575e+00  2.01912799e+01 
 7.76247117e+00  2.01909775e+01 
 7.94328235e+00  2.01906608e+01 
 8.12830516e+00  2.01903291e+01 
 8.31763771e+00  2.01899817e+01 
 8.51138038e+00  2.01896179e+01 
 8.70963590e+00  2.01892370e+01 
 8.91250938e+00  2.01888380e+01 
 9.12010839e+00  2.01884202e+01 
 9.33254301e+00  2.01879828e+01 
 9.54992586e+00  2.01875247e+01 
 9.77237221e+00  2.01870450e+01 
 1.00000000e+01  2.01865427e+01 
 1.02329299e+01  2.01860167e+01 
 1.04712855e+01  2.01854660e+01 
 1.07151931e+01  2.01848893e+01 
 1.09647820e+01  2.01842856e+01 
 1.12201845e+01  2.01836534e+01 
 1.14815362e+01  2.01829915e+01 
 1.17489755e+01  2.01822984e+01 
 1.20226443e+01  2.01815728e+01 
 1.23026877e+01  2.01808131e+01 
 1.25892541e+01  2.01800177e+01 
 1.28824955e+01  2.01791849e+01 
 1.31825674e+01  2.01783130e+01 
 1.34896288e+01  2.01774002e+01 
 1.38038426e+01  2.01764445e+01 
 1.41253754e+01  2.01754440e+01 
 1.44543977e+01  2.01743966e+01 
 1.47910839e+01  2.01733001e+01 
 1.51356125e+01  2.01721522e+01 
 1.54881662e+01  2.01709504e+01 
 1.58489319e+01  2.01696924e+01 
 1.62181010e+01  2.01683755e+01 
